Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,industry,Summary Quote
MAB,Eaton Vance Massachusetts Municipal Bond Fund,14.03,24812251.42,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mab
MMV,Eaton Vance Massachusetts Municipal Income Trust,13.41,321483280.6,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/mmv
MIW,Eaton Vance Michigan Municipal Bond Fund,13.32,20167345.8,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/miw
EMI,Eaton Vance Michigan Municipal Income Trust,12.38,26199719.72,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/emi
EIM,Eaton Vance Municipal Bond Fund,12.07,822790777.5,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eim
EIV,Eaton Vance Municipal Bond Fund II,12.14,121562445.3,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eiv
EMJ,Eaton Vance New Jersey Municipal Bond Fund,12.98,33863651.8,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/emj
EVJ,Eaton Vance New Jersey Municipal Income Trust,12.47,58349100.26,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evj
ENX,Eaton Vance New York Municipal Bond Fund,12.29,192726679.7,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/enx
NYH,Eaton Vance New York Municipal Bond Fund II,11.96,30700614.36,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/nyh
EVY,Eaton Vance New York Municipal Income Trust,13.93,76261679.48,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evy
EIO,Eaton Vance Ohio Municipal Bond Fund,12.71,32245257.29,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eio
EVO,Eaton Vance Ohio Municipal Income Trust,13.46,38457333.22,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evo
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,13.14,38891233.26,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.11,32944213.54,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp
ELMD,Electromed Inc.,1.46,11846807.92,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd
ETAK,Elephant Talk Communications Corp.,0.91,133493396.4,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/etak
ELLO,Ellomay Capital Ltd.,9.91,105961396.6,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello
ECF,Ellsworth Convertible Growth and Income Fund Inc.,8.91,119545452.2,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf
EMAN,eMagin Corporation,2.27,54457077.54,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman
EOX,Emerald Oil Inc.,7.54,499828115.5,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eox
MSN,Emerson Radio Corporation,1.79,48562399.28,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn
UUUU,Energy Fuels Inc,7.77,152940569.7,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu
ENRJ,EnerJex Resources Inc.,7.4,54027192.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enrj
ENRJ^,EnerJex Resources Inc.,25.5401,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/enrj^
ENSV,ENSERVCO Corporation,2.65,96863062.35,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv
EGI,Entree Gold Inc,0.3052,44859634.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi
EVI,EnviroStarm Inc.,2.5,17584330,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi
ERB,ERBA Diagnostics Inc.,1.9,83378119.9,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb
ESP,Espey Mfg. & Electronics Corp.,25.6,60369280,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp
EMXX,Eurasian Minerals Inc.,0.7817,57183863.48,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx
EVBN,Evans Bancorp Inc.,23.01,95965989.21,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn
EVK,Ever-Glory International Group Inc.,5.86,86618072.26,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk
EPM,Evolution Petroleum Corporation Inc.,10.99,358507383.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm
EPM^A,Evolution Petroleum Corporation Inc.,26.2099,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epm^a
XRA,Exeter Resource Corporation,0.75,66305814.75,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra
FU,FAB Universal Corp.,3.07,63873990.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/fu
FPI,Farmland Partners Inc.,13.14,52747678.62,n/a,2014,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fpi
FCSC,Fibrocell Science Inc,4.11,167921509.7,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc
FPP,FieldPoint Petroleum Corporation,5.49,44314736.49,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp
FPP/WS,FieldPoint Petroleum Corporation,1.47,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp/ws
MXN,First American Minnesota Municipal Income Fund II Inc.,14.98,22058139.88,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mxn
FEN,First Trust Energy Income and Growth Fund,35.77,692336004.8,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen
FWV,First West Virginia Bancorp Inc.,19.2,33191616,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fwv
BDL,Flanigan&#39;s Enterprises Inc.,14.7,27322110.9,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl
FSI,Flexible Solutions International Inc.,0.8399,11061475.44,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi
FTF,Franklin Limited Duration Income Trust,12.99,348595093.5,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf
FSP,Franklin Street Properties Corp.,12.58,1260357555,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp
FRD,Friedman Industries Inc.,8.44,57387307.36,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd
FRS,Frisch&#39;s Restaurants Inc.,24.08,122784209,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frs
GGN,GAMCO Global Gold Natural Reources & Income Trust ,11.08,1179249054,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn
GGN^B,GAMCO Global Gold Natural Reources & Income Trust ,21.3901,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b
EGAS,Gas Natural Inc.,10.39,108965239.3,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas
GST,Gastar Exploration Inc.,8.64,534110379.8,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst
GST^A,Gastar Exploration Inc.,25.27,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a
GST^B,Gastar Exploration Inc.,28.6086,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b
JOB,General Employment Enterprises Inc.,0.1791,4638631.793,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job
GMO,General Moly Inc,1.16,105494167.7,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gmo
GIG,GigOptix Inc.,1.362,43827660.44,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/gig
GSB,GlobalSCAPE Inc.,2.46,48709517.82,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/gsb
GSAT,Globalstar Inc.,4.46,3372903999,n/a,2006,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gsat
GLOW,Glowpoint Inc.,1.5899,56430320.7,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/glow
GORO,Gold Resource Corporation,5.08,275231194.5,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/goro
GSV,Gold Standard Ventures Corporation,0.72,75743402.4,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/gsv
AUMN,Golden Minerals Company,1.1,47883916.3,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/aumn
GSS,Golden Star Resources Ltd,0.585,151734304.2,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/gss
GV,Goldfield Corporation (The),1.69,43012788.26,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/gv
