VRNG, -3.4565217391304355
NWBOW, 2.3076923076923075
BEN, -3.0425177157148813
RLI, -2.020100502512563
SFUN, -5.259203606311043
LO, -2.9816044966785893
JAXB, 20.0
RMGN, -2.88
HOTRW, 2.44
AIRI, 1.923076923076923
LIVE, -2.8288
PLCC, 1.8823529411764708
DMD, 1.7955801104972378
XRSC, 1.8065573770491805
HNR, -1.8813559322033895
SRC, -2.0183189655172415
SYRX, 2.75
OCRX, 4.166666666666667
GPRC, 1.8888888888888888
OXGN, 12.864864864864865
PTIE, -1.9422382671480143
GOGO, 10.283783783783784
GALTU, -1.9215
GALTW, 1.989090909090909
SNBC, 5.128
MD, -1.9922758100979656
MA, -10.01119085269432
MM, -1.9828178694158072
BLOX, -1.8069039913700107
COSI, 3.6388888888888893
POWR, -2.576779026217228
ZOOM, 9.575757575757576
QLTI, -1.9760765550239237
RXII, 31.25
STV, -1.855203619909502
NCT, 3.0227272727272725
ENRJ, 15.535714285714283
ABEV, -4.894666666666668
NES, 9.606741573033709
AAMC, 2.0634920634920633
LBTYA, -1.9338618346545866
LBTYB, -1.9248985115020296
LBTYK, -1.9808555896951074
BOTA, 2.4450549450549453
FSI, 1.7662337662337664
ALIM, 1.82421875
LKQ, -2.022679324894515
NJ, -2.08041958041958
NIHD, -2.3571428571428568
NC, -2.844096385542169
NQ, -2.1904761904761902
DRAM, 4.2
LOOK, 2.2549019607843137
VBFC, 16.516129032258064
HDY, 8.325581395348838
SHG, -1.9376450116009285
OTEL, 6.476683937823834
STXS, 1.8729641693811074
FOLD, -1.7661538461538464
OTEX, -2.00233963735621
ABIO, 5.6
ITC, -3.0184967704051666
BGMD, 2.6462585034013606
IPCI, 1.7885196374622356
VMEM, -1.9470198675496688
FFHL, 2.4545454545454546
OPTT, 1.8934911242603552
WST, -1.999011124845488
EMITF, 16.599999999999998
TROVW, -1.7714285714285716
SBLK, 13.81967213114754
HMNY, 2.030634573304157
TROVU, 1.8703241895261846
CDXS, 1.7724137931034483
DEG, -3.9933259176863176
JCTCF, -1.8012108980827446
GILD, -1.9570644033949076
ACHN, -2.1395348837209305
AIRM, -2.886125654450262
DVAX, -2.0130434782608697
FSNN, 62.5
MDVN, -2.01219744615971
BONE, 9.841269841269842
RGDO, -2.2933333333333334
TYC, -2.0158159597411935
NURO, 4.916666666666666
FCSC, 26.874999999999996
UNP, -1.976636890154118
BIB, -2.053478884110707
BIS, 3.9176626826029213
SLM, -2.7259259259259268
TBIO, 8.0
EDAP, -1.867298578199052
CRM, -4.101287345154238
HGSH, 2.705263157894737
SEED, 1.7716535433070866
EVGN, 1.9450171821305842
VLYWW, 8.0
VTUS, -2.9801324503311264
VII, 1.7641921397379914
ELTK, 1.897297297297297
ESMC, 1.9607843137254901
ORMP, 13.39285714285714
AGD, 1.9940711462450595
BWA, -1.9765739385065888
KIOR, 1.904761904761905
MNDL, 6.666666666666666
CALI, 6.428571428571428
XTLB, 9.859154929577466
USMD, 2.291666666666667
DYNT, 5.048780487804878
CCCR, 1.9815384615384617
PAA, -1.963235294117647
OIS, -1.7748028909329825
DRL, 20.232558139534884
TRXC, 7.407407407407407
RCON, 2.416666666666667
ETE, -2.0109471680152304
RVP, 2.2222222222222223
CVM, 9.1
RGSE, 2.6486486486486487
ARDM, 41.05263157894736
CNDO, -3.726256983240224
ELMD, 2.1782178217821784
GTXI, -3.0285714285714294
LVNTA, -2.0294276457883367
LVNTB, -2.004837595024188
REPH, -1.9078498293515358
HUSA, -2.4166666666666665
KOOL, 2.065217391304348
EOG, -1.9970819078285371
EOX, 6.11764705882353
INO, 4.08
SBS, -3.0933713471133286
ACPW, 5.072463768115942
MMP, -1.983528880866426
MMS, -1.9909886032335014
ADES, -1.9678935003915425
MDCI, 1.9107391910739189
CELG, -1.975198984888684
IDIX, 3.432857142857143
WFM, -1.982324182023317
CELGZ, 2.1799999999999997
DISCA, -1.9371098265895952
DISCB, 1.9501404494382024
DISCK, -2.0007286859363616
NBY, -2.0352941176470587
TVIX, 11.84090909090909
TVIZ, 10.158813263525305
FNRG, 2.081632653061224
VICL, -2.5517241379310347
CTSH, -2.0125280478683623
SMSI, -1.7901234567901234
DCTH, 14.0
COG, -2.0400324587503382
PED, 10.24390243902439
COCO, -1.8863636363636362
PENN, -4.288644688644689
TELK, 2.0476190476190474
UFS, -1.9871882864333106
AIQ, 4.358108108108109
GNI, -2.443014705882353
NSPR, 4.651162790697675
CBDE, 3.3333333333333335
EPD, -1.989166036785085
AMZG, 3.76271186440678
LPTN, 7.28
MSTX, 1.846153846153846
OPXA, 4.025
FFIN, -1.9843437708194538
SR, 4.666666666666666
QRHC, 5.714285714285714
CAK, -2.4098360655737703
PTCT, 9.666666666666666
ZIOP, -2.544502617801047
OGE, -2.0061710255656773
AOD, 1.9929742388758784
RIBT, 150.0
AOS, -1.9969796123835892
SPHS, 27.68
CYCCP, -1.8666666666666667
SINO, 2.6470588235294112
WBK, -5.034530868503662
ROIQW, -2.6
XGTI, 39.583333333333336
LIME, 6.32
CYTK, 6.357142857142857
OMED, 1.7507418397626113
CADC, 12.689655172413794
TQQQ, -2.033586307120943
MIDD, -3.042431761786601
CCU, -2.4549193293261626
ARQL, -2.5628140703517586
URRE, 8.59090909090909
DGLY, 2.360606060606061
WMGIZ, -7.159090909090912
TU, -1.9754972614586337
TD, -1.9779005524861881
TSRE, 150.0
ARLP, -1.9232798417234556
WLK, -1.9846199349304936
TGEN, 1.9043367346938775
CSWC, -4.015285126396237
JMBA, 5.163333333333333
RADA, 2.0182481751824817
